id,name,protein,carbs,fat,calories
1,Kana,20,0,0.5,84.5
2,Maito,3.2,4.8,1.5,45.5
3,Makaronilaatikko tummista makaroneista,10.4,18,4.82,156.98
4,Jauheliha,20,0,10,170
5,ProFeel,11,5.8,1.5,80.7
6,Leader Promour - Dark Chocolate ,28,20,13,309
7,Ehrmann - Maitorahka,8.3,5,0.2,55
8,Vaasan Sulhaspiirakka - 42g,3.8,29,5.4,179.8
9,Iso Vaalea Riisipiirakka - 70g,4.6,34,7.2,219.2
10,Valio Oivariini® kolme oljya,0.3,0.5,57,516.2
11,Gille Suklaakauralastu,5.2,61,25.9,497.9
12,Valio Oltermanni Monterey Jack,23,0,34,398
13,Fazer Puikula - 28g - Viipale,12,41,1.7,227.3
14,Earth Control - Cashew Pahkina,18,27,44,576
15,Munavoi,8,0,36,356
16,Kananmuna valkuainen 36g,11,0.7,0,46.8
17,Kananmuna keltuainen 18g,15.9,0,29.2,326.4
18,Star Nutrion - Whey 100 - 37g,82,2.4,1.4,350.2
19,ProFeel Suklaa - 180g,11,6,1.5,81.5
20,Koskenlaskija ,19,0,22,274
21,HK - Ohuen Ohut Kalkkunanfilee,18,2.9,1.1,93.5
22,Saarioinen Siskonmakkarakeitto 300g,2.8,4.9,4,66.8
23,Fast Rox 55g,37,35,15,423
24,Tuorepuristettu appelsiinimehu - 200g,0,10,0,40
25,Kivikylan Aurajuusto lihapullat,12.8,9.6,16.7,239.9
26,HK Herkkumaksamakkara,11,1.4,21,238.6
27,Banaani 125g,1.2,18.3,0,78
28,Viinirypäle,0,15.5,0,62
29,Kiiwi 95g,0,7.1,0,28.4
30,Keso Raejuusto,13,3.1,1.5,77.9
31,Valio Ruokakerma - Kolme Juustoa,3.2,3.8,10,118
